,HYLAN BL/PARKINSON AV,TOMPKINS AV/BROAD ST,HYLAN BL/PIEDMONT AV,BAY ST/SLOSSON TE,HYLAN BL/OSBORNE AV,HYLAN BL/SEGUINE AV,HYLAN BL/ARMSTRONG AV,HYLAN BL/MIDLAND AV,HYLAN BL/KENNY RD,HYLAN BL/CHESTERTON AV,ST PAULS AV/VAN DUZER ST,HYLAN BL/BURBANK AV,HYLAN BL/HILLSIDE TER,HYLAN BL/SEAVIEW AV,BEACH ST/UNION PL,HYLAN BL/CROMWELL AV,HYLAN BL/RICHMOND AV,HYLAN BL/CUNNINGHAM RD,HYLAN BL/GOODALL ST,HYLAN BL/BARCLAY AV,HYLAN BL/DELAWARE AV,HYLAN BL/JACQUES AV,ST PAULS AV/CEBRA AV,HYLAN BL/NORWAY AV,HYLAN BL/SHARROTT AV,HYLAN BL/RICHARD AV,HYLAN BL/REYNOLDS ST,HYLAN BL/BIONIA AV,HYLAN BL/HUGUENOT AV,HYLAN BL/EVERGREEN AV,HYLAN BL/BEACH AV,HYLAN BL/STERLING AV,TOMPKINS AV/VANDERBILT AV,HYLAN BL/BANCROFT AV,ARTHUR KILL RD/NASSAU PL,ST GEORGE FERRY/ST GEORGE FERRY,ARTHUR KILL RD/MAIN ST,BAY ST/BOROUGH PL,ST PAULS AV/SWAN ST,HYLAN BL/DONLEY AV,HYLAN BL/BAYVIEW AV,HYLAN BL/CHELSEA ST,HYLAN BL/HAMDEN AV,HYLAN BL/INEZ ST,HYLAN BL/VAUGHN ST,HYLAN BL/ROSS AV,HYLAN BL/WOODVALE AV,VAN DUZER ST/BALTIC ST,BAY ST/CENTRAL AV,HYLAN BL/RENO AV,HYLAN BL/ADAMS AV,HYLAN BL/CANNON BL,HYLAN BL/LAMPORT BL,CANAL ST/CANAL ST,ARTHUR KILL RD/S BRIDGE ST,HYLAN BL/KRAMER ST,HYLAN BL/SPRAGUE AV,HYLAN BL/GUYON AV,HYLAN BL/OAK AV,HYLAN BL/POILLON AV,ARTHUR KILL RD/RICHMOND VALLEY RD,HYLAN BL/WOODS OF ARDEN RD,CRAIG AV/AMBOY RD,HYLAN BL/LINWOOD AV,HYLAN BL/REDGRAVE AV,HYLAN BL/HALES AV,HYLAN BL / NARROWS RD S,OLGA PL/POUCH TER,HYLAN BL/LIPSETT AV,STEUBEN ST/NARROWS RD S,HYLAN BL/OTIS AV,HYLAN BL/CORNELIA AV,BEACH ST/VAN DUZER ST,HYLAN BL/CHAMPLAIN AV,HYLAN BL/REID AV,HYLAN BL/TYSENS LA,HYLAN BL/BROOK AV,HYLAN BL/ARBUTUS AV,HYLAN BL/HOLDRIDGE AV,HYLAN BL/JUSTIN AV,TOMPKINS AV/ST MARYS AV,HYLAN BL/EBBITTS ST,HYLAN BL/ELMTREE AV,HYLAN BL/DOLE ST,HYLAN BL/ARDEN AV,HYLAN BL/CURRIE AV,ARTHUR KILL RD/ALLENTOWN LA,HYLAN BL/LUTEN AV,VICTORY BL/BAY ST,AMBOY RD/CARTERET ST,HYLAN BL/CONNECTICUT AV,TOMPKINS AV/TOWNSEND AV,VAN DUZER ST/BEACH ST,HYLAN BL/W FINGERBOARD RD,HYLAN BL/WENDY DR,HYLAN BL/FINGERBOARD RD,ST GEORGE FERRY/S78,BAY ST/VICTORY BL,ST PAULS AV/PAXTON ST,HYLAN BL/CRAIG AV,HYLAN BL/LINDBERGH AV,HYLAN BL/PACIFIC AV,MAIN ST/AMBOY RD,HYLAN BL/BAY TER,ARTHUR KILL RD/YETMAN AV,HYLAN BL/COOPER AV,HYLAN BL/BURGHER AV,HYLAN BL/ROSE AV,HYLAN BL/YETMAN AV,HYLAN BL/GREAT KILLS RD,HYLAN BL/TOMPKINS AV,HYLAN BL/SPRATT AV,HYLAN BL/LINCOLN AV,HYLAN BL/QUINTARD ST,HYLAN BL/ALLENDALE RD,OLGA PL/HYLAN BL,HYLAN BL/BEDELL AV,HYLAN BL/LITTLEFIELD AV,TOMPKINS AV/SAINT MARYS AV,VAN DUZER ST/GRANT ST,HYLAN BL/PAGE AV,HYLAN BL/FIELDWAY AV,HYLAN BL/BUEL AV,HYLAN BL/STEUBEN ST,BRICKTOWN SHOPPING CENTER,HYLAN BL/JOLINE AV,HYLAN BL/SAND LA,ARTHUR KILL RD/FISHER AV,BAY ST/HANNAH ST,HYLAN BL/MONTREAL AV,ARTHUR KILL RD/BARNARD AV,TOMPKINS AV/HILL ST,TOMPKINS AV/CHESTNUT AV,HYLAN BL/OLD TOWN RD,HYLAN BL/BAY VIEW AV,HYLAN BL/JEFFERSON AV,HYLAN BL/BUFFALO ST,HYLAN BL/KEEGANS LA,HYLAN BL/CLOVE RD,HYLAN BL/CARTERET ST,HYLAN BL/BAY TERRACE,BAY ST/NICK LAPORTE PL,BRICKTOWN SHOPPING/CENTER,HYLAN BL/NAUGHTON AV,HYLAN BL/WINCHESTER AV,HYLAN BL/BRIGHTON ST,HYLAN BL/NELSON AV,AMBOY RD/MAIN ST,ARTHUR KILL RD/WOOD AV,MAIN ST/HYLAN BL,HYLAN BL/SEAVER AV,HYLAN BL/LIBERTY AV,HYLAN BL/BENTON AV,CANAL ST/WRIGHT ST,HYLAN BL/NEW DORP LA,MAIN ST/CRAIG AV,Yukon Depot (YU)
HYLAN BL/HILLSIDE TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.966 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.445 BRICKTOWN MALL via HYLAN,,,,,,,,,,
HYLAN BL/SEAVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.147 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEACH ST/UNION PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.599 BRICKTOWN MALL via HYLAN,,,
HYLAN BL/CROMWELL AV,,,,,,,,,,,,,,0.196 BRICKTOWN MALL via HYLAN,,,,,,,0.577 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.274 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.457 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,
HYLAN BL/CUNNINGHAM RD,,,,,,,,,0.198 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,0.485 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/GOODALL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.337 ST GEORGE FERRY via HYLAN,,,,,,,,,,
HYLAN BL/BARCLAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.435 BRICKTOWN MALL via HYLAN,,,,,,,,,,0.243 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/DELAWARE AV,,,,,,,,,,,,,,,,0.202 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,0.304 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/JACQUES AV,,,,,,,,,,,,2.193 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST PAULS AV/CEBRA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/NORWAY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.304 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/SHARROTT AV,,,,,,,,,2.978 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.695 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/RICHARD AV,,,,,,,,,,,,,,,,,,1.596 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.532 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/REYNOLDS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.593 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.503 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BIONIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.556 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/HUGUENOT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.572 ST GEORGE FERRY via HYLAN,,,,,,,,,,0.652 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/EVERGREEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 ST GEORGE FERRY via HYLAN,,,,
HYLAN BL/BEACH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/STERLING AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOMPKINS AV/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.222 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BANCROFT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.696 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/NASSAU PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.567 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/MAIN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 ST GEORGE FERRY via HYLAN,
BAY ST/BOROUGH PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.392 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST PAULS AV/SWAN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/DONLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.854 ST GEORGE FERRY via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/BAYVIEW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.397 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/CHELSEA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 BRICKTOWN MALL via HYLAN,,,,,,,,,,,,,,,,,
