,ARTHUR KILL RD/VETERANS RD W,RICHMOND RD/WILDER AV,RICHMOND RD/SEAVIEW AV,ARTHUR KILL RD/UNITED HEB CEM,ST GEORGE FERRY/S74 & S84,RICHMOND RD/ROCKLAND AV,RICHMOND RD/BEACON AV,ARTHUR KILL RD/WOODROW RD,RICHMOND RD/ALTOONA AV,ROSSVILLE AV/SELKIRK ST,TARGEE ST/W FINGERBOARD RD,BLOOMINGDALE RD/CORRELL AV,RICHMOND RD/SPRING ST,BLOOMINGDALE RD/KRAMER AV,TARGEE ST/SOBEL CT,RICHMOND RD/STEELE AV,BAY ST/BOROUGH PL,VAN DUZER ST/ROFF ST,BAY ST/GRANT ST,ARTHUR KILL RD/RIDGEWOOD AV,VAN DUZER ST/HILLSIDE AV,RICHMOND RD/ST PATRICKS PL,ROSSVILLE AV/CORRELL AV,ARTHUR KILL RD/ENGLEWOOD AV,RICHMOND RD/HULL AV,ARTHUR KILL RD/1547 ARTHUR KILL RD,RICHMOND RD/LONGVIEW RD,RICHMOND RD/DE KALB ST,BAY ST/WILLIAM ST,VAN DUZER ST/BALTIC ST,ROSSVILLE AV/VETERANS RD W,RICHMOND RD/TARGEE ST,BRICKTOWN SHOPPING/CENTER,RICHMOND RD/SUMMIT AV,RICHMOND RD/ROSE AV,VAN DUZER ST/BEACH ST,RICHMOND RD/HUNTER AV,ARTHUR KILL RD/MILES AV,VAN DUZER ST/YOUNG ST,RICHMOND RD/MARK ST,ARTHUR KILL RD/WINANT PL,RICHMOND RD/DELLWOOD RD,TARGEE ST/DE KALB ST,VAN DUZER ST/BROAD ST,ARTHUR KILL RD/SHARROTTS RD,BLOOMINGDALE RD/VETERANS RD E,ARTHUR KILL RD/ELVERTON AV,RICHMOND RD/BANCROFT AV,ARTHUR KILL RD/JOHNSON ST,BAY ST/NICK LAPORTE PL,ARTHUR KILL RD/OPP ASPEN KNOLLS,ARTHUR KILL RD/CLAY PIT RD,ARTHUR KILL RD/WEST SERVICE RD,BROAD ST/GORDON ST,ARTHUR KILL RD/1297 ARTHUR KILL RD,TARGEE ST/CLOVE RD,ARTHUR KILL RD/ANDROVETTE ST,BAY ST/SANDS ST,BLOOMINGDALE RD/OPP SHIEL AV,CANAL ST/WRIGHT ST,ARTHUR KILL RD/GREAVES AV,RICHMOND RD/MCKINLEY AV,ARTHUR KILL RD/CEMETERY 1 GATE,TARGEE ST/BALTIC AV,RICHMOND RD/MIDLAND AV,ARTHUR KILL RD/ARMSTRONG AV,TARGEE ST/ROFF ST,ARTHUR KILL RD/FRANKLIN LA,ARTHUR KILL RD/KREISCHER ST,BLOOMINGDALE RD/OPP KRAMER AV,RICHMOND RD/BUEL AV,ROSSVILLE AV/WOOD CT,RICHMOND RD/MC CULLY AV,RICHMOND RD/NARROWS RD S,VAN DUZER ST/OAKLAND TER,RICHMOND RD/ALTAMONT ST,ARTHUR KILL RD/CROSSFIELD AV,RICHMOND RD/ANDREWS AV,TARGEE ST/VANDERBILT AV,ARTHUR KILL RD/1666 ARTHUR KILL RD,ARTHUR KILL RD/TELEPHONE CO,RICHMOND RD/DOUGLAS RD,RICHMOND RD/SEAVER AV,RICHMOND RD/BARTON AV,RICHMOND RD/GREELEY AV,RICHMOND RD/LINCOLN AV,RICHMOND RD/EDGAR PL,TARGEE ST/YOUNG ST,ARTHUR KILL RD /CORRECTIONAL FACILITY,CANAL ST/CANAL ST,VAN DUZER ST/GRANT ST,VAN DUZER ST/BARING PL,ARTHUR KILL RD/ANNADALE RD,ARTHUR KILL RD E/VETERANS RD E,ARTHUR KILL RD/GIFFORDS LA,ELTINGVILLE/TRANSIT CENTER,VAN DUZER ST/VANDERBILT AV,ARTHUR KILL RD/CORBIN AV,BAY ST/PROSPECT ST,BROAD ST/TOMPKINS AV,RICHMOND RD/TODT HILL RD,RICHMOND RD/SPRUCE ST,ARTHUR KILL RD/CENTER ST,ROSSVILLE AV/WOODROW RD,RICHMOND RD/HUNTON ST,ROSSVILLE AV/OPP CORRELL AV,TARGEE ST/BROAD ST,ROSSVILLE AV/POND ST,ARTHUR KILL RD/CARLYLE GREEN,TARGEE ST/OSGOOD AV,RICHMOND RD/RARITAN AV,ARTHUR KILL RD/COLON AV,WOODROW RD/HELIOS PL,ARTHUR KILL RD/ELLIS RD,ARTHUR KILL RD/STORER AV,ARTHUR KILL RD/BLOOMINGDALE RD,ARTHUR KILL RD/CARLYLE GRN,ARTHUR KILL RD/NEWVALE AV,WOODROW RD/WINANT AV,BRICKTOWN SHOPPING CENTER,BAY ST/VAN DUZER EXT,TARGEE ST/PALMA DR,ARTHUR KILL RD/CORRECTIONAL FACILITY RD,ARTHUR KILL RD/ST JOHN NEWMANN,ROSSVILLE AV/BARRY  ST,RICHMOND RD/LOCUST AV,RICHMOND RD/LIGHTHOUSE AV,BAY ST/HANNAH ST,RICHMOND RD/FOUR CORNERS RD,RICHMOND RD/ENFIELD PL,RICHMOND RD/DONGAN HILLS AV,BAY ST/VICTORY BL,RICHMOND RD/NEW DORP LA,ARTHUR KILL RD/LADD AV,WOODROW RD/LENEVAR AVE,RICHMOND RD/ROME AV,TARGEE ST/ROME AV,RICHMOND RD/HITCHCOCK AV,ARTHUR KILL RD/ELLIS PL,ROSSVILLE AV/MASON BL,ARTHUR KILL RD/CHARLESTON DEPOT,RICHMOND RD/OLD TOWN RD,RICHMOND RD/BURGHER AV,ARTHUR KILL RD/VETERANS RD E,ARTHUR KILL RD/BROOKFIELD AV,BROAD ST/CEDAR ST,RICHMOND RD/BISHOP ST,TARGEE ST/DOCTORS HOSPITAL,ARTHUR KILL RD/ARDEN AV,TARGEE ST/STEUBEN ST,ARTHUR KILL RD/ARDEN HGHTS SHOP,ST GEORGE FERRY/ST GEORGE FERRY,BAY ST/SLOSSON TE,ROSSVILLE AV/VETERANS RD E,Yukon Depot (YU)
RICHMOND RD/DELLWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/DE KALB ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 ST GEORGE FERRY,,,,,
VAN DUZER ST/BROAD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/SHARROTTS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.208 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.096 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/VETERANS RD E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.789 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.466 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ELVERTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,
RICHMOND RD/BANCROFT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.301 BRICKTOWN MALL via AR KILL RD,,,,,,,,,0.16 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/JOHNSON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/NICK LAPORTE PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/OPP ASPEN KNOLLS,,,,,,,,,,,,,,,,,,,,,,,,,,0.537 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/CLAY PIT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.628 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/WEST SERVICE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.559 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BROAD ST/GORDON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/1297 ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/CLOVE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ANDROVETTE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY ST/SANDS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.085 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/OPP SHIEL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANAL ST/WRIGHT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43 BRICKTOWN MALL via AR KILL RD,,,,,,,,,
ARTHUR KILL RD/GREAVES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/MCKINLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/CEMETERY 1 GATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.179 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/BALTIC AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/MIDLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.342 ST GEORGE FERRY,,0.192 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ARMSTRONG AV,,,,,,,,,,,,,,,,,,,,0.287 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/ROFF ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/FRANKLIN LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.933 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/KREISCHER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.541 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMINGDALE RD/OPP KRAMER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.772 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/BUEL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSSVILLE AV/WOOD CT,,,,,,,,,,,,,,,,,,,,,,,0.347 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/MC CULLY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.151 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,
RICHMOND RD/NARROWS RD S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.917 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/OAKLAND TER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ALTAMONT ST,,,,,,,,,,,,,,,,0.147 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/CROSSFIELD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 BRICKTOWN MALL via AR KILL RD,,,0.964 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ANDREWS AV,,0.208 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/VANDERBILT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/1666 ARTHUR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306 ST GEORGE FERRY,,,,
ARTHUR KILL RD/TELEPHONE CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/DOUGLAS RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.005 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/SEAVER AV,,,,,,,,,,,,,,,,,,,,,,,,,0.249 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/BARTON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.177 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/GREELEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/LINCOLN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/EDGAR PL,,,,,,,,,,,,,0.226 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARGEE ST/YOUNG ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD /CORRECTIONAL FACILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANAL ST/CANAL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.835 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/GRANT ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.348 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAN DUZER ST/BARING PL,,,,,,,,,,,,,,,,,,0.19 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/ANNADALE RD,,,,,,,,0.349 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD E/VETERANS RD E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTHUR KILL RD/GIFFORDS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,0.231 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELTINGVILLE/TRANSIT CENTER,,,,,,,,,,,,,,,,,,,,0.812 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.407 BRICKTOWN MALL via AR KILL RD,,,,,,,,,,,,,,,,,,,,,
